18	
5.82249	4.61253	7.14079
2.64779	4.53444	7.84669
5.40739	1.10045	0.98112
1.19215	3.584	4.21087
5.82249	4.61253	7.14079
5.40739	1.10045	0.98112
3.18074	2.97102	1.51814
1.19215	3.584	4.21087
5.82249	4.61253	7.14079
5.40739	1.10045	0.98112
2.64779	4.53444	7.84669
9.39829	4.82436	9.54843
5.82249	4.61253	7.14079
8.69941	7.81262	9.13982
2.64779	4.53444	7.84669
9.39829	4.82436	9.54843
5.82249	4.61253	7.14079
3.18074	2.97102	1.51814
5.40739	1.10045	0.98112
6.45552	4.31225	1.89487
5.82249	4.61253	7.14079
1.19215	3.584	4.21087
3.18074	2.97102	1.51814
6.45552	4.31225	1.89487
5.82249	4.61253	7.14079
8.69941	7.81262	9.13982
9.39829	4.82436	9.54843
6.45552	4.31225	1.89487
5.82249	4.61253	7.14079
9.39829	4.82436	9.54843
5.40739	1.10045	0.98112
6.45552	4.31225	1.89487
5.82249	4.61253	7.14079
8.69941	7.81262	9.13982
2.64779	4.53444	7.84669
4.79463	6.98823	2.73417
5.82249	4.61253	7.14079
6.45552	4.31225	1.89487
8.69941	7.81262	9.13982
4.79463	6.98823	2.73417
5.82249	4.61253	7.14079
2.64779	4.53444	7.84669
1.19215	3.584	4.21087
4.79463	6.98823	2.73417
5.82249	4.61253	7.14079
1.19215	3.584	4.21087
6.45552	4.31225	1.89487
4.79463	6.98823	2.73417
1.19215	3.584	4.21087
3.18074	2.97102	1.51814
6.45552	4.31225	1.89487
4.79463	6.98823	2.73417
3.18074	2.97102	1.51814
5.40739	1.10045	0.98112
6.45552	4.31225	1.89487
6.39317	6.75066	0.537719
8.69941	7.81262	9.13982
9.39829	4.82436	9.54843
6.45552	4.31225	1.89487
6.39317	6.75066	0.537719
3.18074	2.97102	1.51814
1.19215	3.584	4.21087
4.79463	6.98823	2.73417
6.39317	6.75066	0.537719
8.69941	7.81262	9.13982
6.45552	4.31225	1.89487
4.79463	6.98823	2.73417
6.39317	6.75066	0.537719
3.18074	2.97102	1.51814
6.45552	4.31225	1.89487
4.79463	6.98823	2.73417
6.39317	6.75066	0.537719
